Total
5097
6083
4856
1951
1697
12882
4033
2861
1844
3355
4456
3499
21711
8012
2101
4227
7975
3902
3311
6264
7159
1860
4988
5177
5171
5140
4280
10782
1654
1716
7722
11311
2168
14995
12130
9469
3139
6422
11034
2850
4273
4010
9542
2628
12823
6352
2234
4233
970
7916
5671
6258
2120
3104
7982
2323
8727
11576
3027
25888
7017
3361
15237
7328
7931
3108
6078
10928
8502
16961
2407
7158
6082
4779
7217
19671
13873
10087
9953
3896
6831
4308
2717
12059
6317
7066
5043
4750
4777
4367
2486
9206
12260
9537
11510
9076
